"annotation_id","annotator","created_at","id","lead_time","updated_at","video","videoLabels"
1,"1","2025-10-30T15:13:28.435201Z",1,830.98,"2025-10-30T16:47:01.873371Z","/data/upload/3/fe25245c-VID_20251012_2055488053.mp4","[{""ranges"":[{""start"":1,""end"":82}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":129,""end"":185}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":83,""end"":128}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":186,""end"":240}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":241,""end"":282}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":283,""end"":318}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":319,""end"":374}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":375,""end"":422}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":423,""end"":476}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":477,""end"":545}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":546,""end"":598}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":599,""end"":629}],""timelinelabels"":[""Walk to front""]}]"
2,"1","2025-10-30T15:42:33.281873Z",2,523.154,"2025-10-30T16:46:25.981914Z","/data/upload/3/87c44e07-VID_20251012_2054460522.mp4","[{""ranges"":[{""start"":1,""end"":92}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":93,""end"":136}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":137,""end"":188}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":189,""end"":238}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":239,""end"":268}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":269,""end"":308}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":309,""end"":371}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":372,""end"":416}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":417,""end"":459}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":460,""end"":523}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":524,""end"":586}],""timelinelabels"":[""Squat""]}]"
3,"1","2025-10-30T16:17:18.102579Z",3,487.55100000000004,"2025-10-30T16:45:40.784479Z","/data/upload/3/255d791f-VID_20251012_2053457622.mp4","[{""ranges"":[{""start"":1,""end"":75}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":76,""end"":120}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":121,""end"":173}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":174,""end"":219}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":220,""end"":255}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":256,""end"":284}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":285,""end"":347}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":348,""end"":391}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":392,""end"":439}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":440,""end"":493}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":494,""end"":548}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":549,""end"":566}],""timelinelabels"":[""Walk to front""]}]"
4,"1","2025-10-30T16:44:26.869000Z",4,466.069,"2025-10-30T16:44:26.869013Z","/data/upload/3/a91ae052-VID_20251012_2053043673.mp4","[{""ranges"":[{""start"":1,""end"":69}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":70,""end"":112}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":113,""end"":173}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":174,""end"":224}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":225,""end"":261}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":262,""end"":293}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":294,""end"":362}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":363,""end"":401}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":402,""end"":447}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":448,""end"":511}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":512,""end"":577}],""timelinelabels"":[""Squat""]}]"
5,"1","2025-10-30T16:54:35.743138Z",5,359.532,"2025-10-30T16:54:35.743154Z","/data/upload/3/b18b6d69-VID_20251012_2051467552.mp4","[{""ranges"":[{""start"":1,""end"":75}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":76,""end"":131}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":132,""end"":176}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":177,""end"":224}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":225,""end"":262}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":263,""end"":287}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":288,""end"":351}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":352,""end"":396}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":397,""end"":444}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":445,""end"":507}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":508,""end"":592}],""timelinelabels"":[""Squat""]}]"
6,"1","2025-10-30T17:04:45.469648Z",6,253.073,"2025-10-30T17:04:45.469659Z","/data/upload/3/9177cc29-VID_20251012_2050331212.mp4","[{""ranges"":[{""start"":1,""end"":81}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":82,""end"":119}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":120,""end"":173}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":174,""end"":224}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":225,""end"":259}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":260,""end"":299}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":300,""end"":362}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":363,""end"":405}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":406,""end"":452}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":453,""end"":516}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":517,""end"":580}],""timelinelabels"":[""Squat""]}]"
7,"1","2025-10-30T17:14:15.335584Z",7,335.598,"2025-10-30T17:14:15.335601Z","/data/upload/3/6aa32e92-VID_20251012_2049446052.mp4","[{""ranges"":[{""start"":1,""end"":86}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":87,""end"":129}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":130,""end"":187}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":188,""end"":233}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":234,""end"":263}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":264,""end"":295}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":296,""end"":366}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":367,""end"":405}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":406,""end"":453}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":454,""end"":512}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":513,""end"":563}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":564,""end"":573}],""timelinelabels"":[""Walk to front""]}]"
8,"1","2025-10-31T20:05:28.339969Z",8,519.414,"2025-10-31T20:05:28.339984Z","/data/upload/3/22308cb9-VID_20251012_2048479882.mp4","[{""ranges"":[{""start"":1,""end"":74}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":75,""end"":118}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":119,""end"":175}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":176,""end"":220}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":221,""end"":252}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":253,""end"":282}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":283,""end"":347}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":348,""end"":392}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":393,""end"":438}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":439,""end"":492}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":493,""end"":562}],""timelinelabels"":[""Squat""]}]"
9,"1","2025-10-31T20:12:15.021304Z",9,400.454,"2025-10-31T20:12:15.021320Z","/data/upload/3/a4f64bed-VID_20251012_2047230572.mp4","[{""ranges"":[{""start"":1,""end"":68}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":69,""end"":124}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":125,""end"":182}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":183,""end"":233}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":234,""end"":270}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":271,""end"":303}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":304,""end"":383}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":384,""end"":430}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":431,""end"":474}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":475,""end"":527}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":528,""end"":591}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":592,""end"":602}],""timelinelabels"":[""Walk to front""]}]"
10,"1","2025-10-31T20:18:07.504750Z",10,348.382,"2025-10-31T20:18:07.504767Z","/data/upload/3/36e249f5-VID_20251012_2045270692.mp4","[{""ranges"":[{""start"":1,""end"":70}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":71,""end"":107}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":108,""end"":158}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":159,""end"":199}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":200,""end"":238}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":239,""end"":278}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":279,""end"":351}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":352,""end"":429}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":430,""end"":484}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":485,""end"":545}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":546,""end"":618}],""timelinelabels"":[""Squat""]}]"
11,"1","2025-10-31T17:24:29.856557Z",1,1287.1650000000002,"2025-10-31T17:24:29.856557Z","/data/upload/3/333a6b17-WhatsApp Video 2025-10-12 at 9.49.12 PM 1.mp4","[{""ranges"":[{""start"":1,""end"":30}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":30,""end"":94}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":95,""end"":139}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":140,""end"":178}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":179,""end"":210}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":211,""end"":259}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":260,""end"":300}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":301,""end"":350}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":351,""end"":402}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":403,""end"":445}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":446,""end"":609}],""timelinelabels"":[""Squat""]}]"
12,"1","2025-10-31T17:52:00.095714Z",2,963.733,"2025-10-31T17:52:00.095714Z","/data/upload/3/01b19581-WhatsApp Video 2025-10-12 at 9.49.12 PM.mp4","[{""ranges"":[{""start"":1,""end"":44}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":45,""end"":110}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":111,""end"":149}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":150,""end"":195}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":195,""end"":224}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":225,""end"":289}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":290,""end"":320}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":321,""end"":378}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":379,""end"":435}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":436,""end"":499}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":500,""end"":657}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":658,""end"":693}],""timelinelabels"":[""Turn 180""]}]"
13,"1","2025-10-31T18:03:28.620794Z",12,1604.2740000000001,"2025-10-31T18:23:51.327971Z","/data/upload/3/355b5ce1-WhatsApp Video 2025-10-12 at 9.49.13 PM 1.mp4","[{""ranges"":[{""start"":1,""end"":30}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":30,""end"":110}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":111,""end"":153}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":154,""end"":211}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":212,""end"":243}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":244,""end"":298}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":299,""end"":337}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":338,""end"":405}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":406,""end"":457}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":457,""end"":501}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":502,""end"":658}],""timelinelabels"":[""Squat""]},{""ranges"":[{""start"":659,""end"":694}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":695,""end"":711}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":712,""end"":743}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":744,""end"":779}],""timelinelabels"":[""Sit""]}]"
4,"1","2025-10-31T18:03:28.621310Z",13,1534.2240000000002,"2025-10-31T18:29:06.686550Z","/data/upload/3/4311cd71-WhatsApp Video 2025-10-12 at 9.49.13 PM 2.mp4","[{""ranges"":[{""start"":1,""end"":45}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":46,""end"":131}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":132,""end"":174}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":175,""end"":237}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":238,""end"":277}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":278,""end"":347}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":348,""end"":390}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":391,""end"":457}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":458,""end"":503}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":504,""end"":556}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":557,""end"":709}],""timelinelabels"":[""Squat""]}]"
15,"1","2025-10-31T18:03:28.621310Z",14,1458.679,"2025-10-31T18:32:58.158502Z","/data/upload/3/bde766c0-WhatsApp Video 2025-10-12 at 9.49.13 PM 3.mp4","[{""ranges"":[{""start"":1,""end"":48}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":49,""end"":125}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":126,""end"":167}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":168,""end"":227}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":228,""end"":261}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":262,""end"":314}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":315,""end"":354}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":355,""end"":412}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":412,""end"":457}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":458,""end"":505}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":506,""end"":663}],""timelinelabels"":[""Squat""]}]"
16,"1","2025-10-31T18:03:28.621310Z",15,1583.1580000000001,"2025-10-31T18:40:10.235935Z","/data/upload/3/a70cbe73-WhatsApp Video 2025-10-12 at 9.49.13 PM.mp4","[{""ranges"":[{""start"":1,""end"":49}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":50,""end"":114}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":114,""end"":174}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":175,""end"":215}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":216,""end"":245}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":246,""end"":302}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":302,""end"":338}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":339,""end"":408}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":409,""end"":451}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":452,""end"":505}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":506,""end"":699}],""timelinelabels"":[""Squat""]}]"
17,"1","2025-10-31T18:03:28.621310Z",16,1808.0200000000002,"2025-10-31T20:29:58.593935Z","/data/upload/3/026d970a-WhatsApp Video 2025-10-12 at 9.49.14 PM 1.mp4","[{""ranges"":[{""start"":1,""end"":43}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":43,""end"":119}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":120,""end"":170}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":171,""end"":228}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":229,""end"":255}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":256,""end"":295}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":296,""end"":356}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":357,""end"":427}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":428,""end"":475}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":476,""end"":529}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":530,""end"":711}],""timelinelabels"":[""Squat""]}]"
18,"1","2025-10-31T18:03:28.621310Z",17,1287.1650000000002,"2025-10-31T18:03:28.621310Z","/data/upload/3/0a07443d-WhatsApp Video 2025-10-12 at 9.49.14 PM.mp4","[{""ranges"":[{""start"":1,""end"":30}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":30,""end"":94}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":95,""end"":139}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":140,""end"":178}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":179,""end"":210}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":211,""end"":259}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":260,""end"":300}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":301,""end"":350}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":351,""end"":402}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":403,""end"":445}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":446,""end"":609}],""timelinelabels"":[""Squat""]}]"
19,"1","2025-10-31T18:03:28.621310Z",18,1427.0180000000003,"2025-10-31T20:32:40.256415Z","/data/upload/3/6b491b0a-WhatsApp Video 2025-10-12 at 9.47.33 PM.mp4","[{""ranges"":[{""start"":1,""end"":35}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":36,""end"":113}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":114,""end"":151}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":152,""end"":212}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":213,""end"":232}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":233,""end"":290}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":290,""end"":315}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":316,""end"":379}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":380,""end"":426}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":427,""end"":470}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":471,""end"":651}],""timelinelabels"":[""Squat""]}]"
20,"1","2025-10-31T18:03:28.621310Z",19,1610.978,"2025-10-31T20:38:06.868830Z","/data/upload/3/86c78938-WhatsApp Video 2025-10-12 at 9.47.43 PM.mp4","[{""ranges"":[{""start"":1,""end"":57}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":58,""end"":128}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":129,""end"":165}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":166,""end"":211}],""timelinelabels"":[""Walk to back""]},{""ranges"":[{""start"":212,""end"":232}],""timelinelabels"":[""Turn 180""]},{""ranges"":[{""start"":233,""end"":288}],""timelinelabels"":[""Sit""]},{""ranges"":[{""start"":289,""end"":326}],""timelinelabels"":[""Stand""]},{""ranges"":[{""start"":327,""end"":380}],""timelinelabels"":[""Walk to front""]},{""ranges"":[{""start"":381,""end"":439}],""timelinelabels"":[""Lean Left""]},{""ranges"":[{""start"":440,""end"":492}],""timelinelabels"":[""Lean Right""]},{""ranges"":[{""start"":493,""end"":684}],""timelinelabels"":[""Squat""]}]"

